Date,AMZN,MSFT,INTC,GOOG,INFY.NS,3988.HK
2024-06-28,193.25,443.54931640625,30.774776458740234,182.54364013671875,1527.6177978515625,3.5875210762023926
2024-07-01,197.1999969482422,453.2549133300781,30.645597457885742,183.60855102539062,1551.067138671875,
2024-07-02,200.0,455.7855224609375,30.874147415161133,185.71841430664062,1580.561767578125,3.596839189529419
2024-07-03,197.58999633789062,457.26416015625,31.033138275146484,186.4946746826172,1586.7530517578125,3.5688846111297607
2024-07-05,200.0,464.0024719238281,31.818159103393555,191.04286193847656,1606.30224609375,3.5409297943115234
2024-07-08,199.2899932861328,462.6925354003906,33.77574157714844,189.56993103027344,1620.1475830078125,3.5
2024-07-09,199.33999633789062,456.04351806640625,34.3719596862793,189.53012084960938,1615.760009765625,3.4700000286102295
2024-07-10,199.7899932861328,462.7024841308594,34.65019226074219,191.73951721191406,1607.082275390625,3.4700000286102295
2024-07-11,195.0500030517578,451.2403869628906,33.2888298034668,186.40512084960938,1611.421142578125,3.5
2024-07-12,194.49000549316406,450.09912109375,34.27259063720703,185.88760375976562,1668.996337890625,3.5899999141693115
2024-07-15,192.72000122070312,450.5059814453125,34.242774963378906,187.29086303710938,1664.4136962890625,3.5399999618530273
2024-07-16,193.02000427246094,446.09979248046875,34.12353515625,184.6137237548828,1682.9390869140625,3.4800000190734863
2024-07-17,187.92999267578125,440.1454162597656,34.242774963378906,181.7474822998047,,3.440000057220459
2024-07-18,183.75,437.0193786621094,34.65019226074219,178.36373901367188,1714.139892578125,3.450000047683716
2024-07-19,183.1300048828125,433.7841796875,32.7721061706543,178.53289794921875,1748.1680908203125,3.390000104904175
2024-07-22,182.5500030517578,439.5698547363281,33.15964889526367,182.4739990234375,1765.6209716796875,3.4200000762939453
2024-07-23,186.41000366210938,441.4653015136719,32.7422981262207,182.72280883789062,1791.0205078125,3.4600000381469727
2024-07-24,180.8300018310547,425.6366882324219,31.50017547607422,173.53689575195312,1788.14404296875,3.450000047683716
2024-07-25,179.85000610351562,415.2165222167969,30.90395736694336,168.35177612304688,1779.2713623046875,3.4100000858306885
2024-07-26,182.5,422.0342712402344,31.152381896972656,167.87408447265625,1831.971435546875,3.380000114440918
2024-07-29,183.1999969482422,423.4831848144531,30.63566017150879,170.31239318847656,1824.3662109375,3.440000057220459
2024-07-30,181.7100067138672,419.7021789550781,29.94007110595703,171.0388946533203,1830.26513671875,3.440000057220459
2024-07-31,186.97999572753906,415.16693115234375,30.546226501464844,172.3227081298828,1821.58740234375,3.4800000190734863
2024-08-01,184.07000732421875,413.93634033203125,28.866878509521484,171.6260528564453,1806.3282470703125,3.430000066757202
2024-08-02,167.89999389648438,405.3819580078125,21.3445987701416,167.59542846679688,1775.7125244140625,3.430000066757202
2024-08-05,161.02000427246094,392.1434631347656,19.983234405517578,159.87249755859375,1708.1434326171875,3.309999942779541
2024-08-06,161.92999267578125,396.56951904296875,19.704999923706055,159.77296447753906,1707.3634033203125,3.299999952316284
2024-08-07,162.77000427246094,395.3985290527344,18.989999771118164,159.9819793701172,1746.900634765625,3.3299999237060547
2024-08-08,165.8000030517578,399.6260986328125,20.489999771118164,163.05718994140625,1699.612060546875,3.3399999141693115
2024-08-09,166.94000244140625,402.9307556152344,19.709999084472656,164.5998077392578,1726.5225830078125,3.359999895095825
2024-08-12,166.8000030517578,403.7146911621094,19.360000610351562,163.16668701171875,1752.507080078125,3.4000000953674316
2024-08-13,170.22999572753906,410.8599853515625,20.469999313354492,165.13720703125,1752.5556640625,3.4100000858306885
2024-08-14,170.10000610351562,413.6882629394531,19.920000076293945,161.255859375,1777.71142578125,3.4100000858306885
2024-08-15,177.58999633789062,418.5796203613281,20.690000534057617,162.39041137695312,,3.440000057220459
2024-08-16,177.05999755859375,416.0345458984375,20.8700008392334,163.95291137695312,1812.5196533203125,3.490000009536743
2024-08-19,178.22000122070312,419.07672119140625,21.520000457763672,167.59542846679688,1818.2236328125,3.549999952316284
2024-08-20,178.8800048828125,422.3276672363281,20.989999771118164,168.1527557373047,1825.438720703125,3.5799999237060547
2024-08-21,180.11000061035156,421.67156982421875,21.40999984741211,166.8291015625,1825.9261474609375,3.5399999618530273
2024-08-22,176.1300048828125,413.13153076171875,20.100000381469727,164.69932556152344,1833.2877197265625,3.5799999237060547
2024-08-23,177.0399932861328,414.36431884765625,20.540000915527344,166.6300506591797,1815.591064453125,3.569999933242798
2024-08-26,175.5,411.08349609375,20.1299991607666,167.12767028808594,1829.2901611328125,3.5899999141693115
2024-08-27,173.1199951171875,411.43145751953125,20.06999969482422,165.5850830078125,1852.641845703125,3.6500000953674316
2024-08-28,170.8000030517578,408.2103576660156,19.610000610351562,163.71405029296875,1890.667724609375,3.609999895095825
2024-08-29,172.1199951171875,410.71563720703125,20.1299991607666,162.6193084716797,1885.0614013671875,3.5399999618530273
2024-08-30,178.5,414.7122802734375,22.040000915527344,164.32115173339844,1895.15283203125,3.5399999618530273
2024-09-03,176.25,407.0570983886719,20.100000381469727,157.85218811035156,1892.76416015625,3.430000066757202
2024-09-04,173.3300018310547,406.5202331542969,19.43000030517578,157.05601501464844,1874.43359375,3.430000066757202
2024-09-05,177.88999938964844,406.01318359375,19.399999618530273,157.8422393798828,1884.866455078125,3.390000104904175
2024-09-06,171.38999938964844,399.36212158203125,18.889999389648438,151.4031524658203,1854.34814453125,
2024-09-09,175.39999389648438,403.3587646484375,19.06999969482422,149.02142333984375,1847.328125,3.3399999141693115
